time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-13 00:00:00+00:00,0,0,50,3
2022-08-14 00:00:00+00:00,0,0,46,19
2022-08-15 00:00:00+00:00,0,0,22,7
2022-08-16 00:00:00+00:00,0,0,23,8
2022-08-17 00:00:00+00:00,0,0,18,3
2022-08-18 00:00:00+00:00,4,3,34,6
2022-08-19 00:00:00+00:00,0,0,8,3
2022-08-20 00:00:00+00:00,0,0,7,5
2022-08-22 00:00:00+00:00,0,0,24,1
2022-08-23 00:00:00+00:00,0,0,31,2
2022-08-24 00:00:00+00:00,0,0,3,2
2022-08-25 00:00:00+00:00,0,0,10,1
2022-08-26 00:00:00+00:00,0,0,26,2
2022-08-27 00:00:00+00:00,7,6,64,6
2022-08-28 00:00:00+00:00,1,1,28,3
2022-08-29 00:00:00+00:00,1,1,11,3
2022-08-30 00:00:00+00:00,1,1,6,3
2022-08-31 00:00:00+00:00,8,5,33,5
2022-09-01 00:00:00+00:00,2,2,21,3
2022-09-02 00:00:00+00:00,2,2,3,3
2022-09-03 00:00:00+00:00,2,2,65,6
2022-09-04 00:00:00+00:00,3,2,19,4
2022-09-05 00:00:00+00:00,1,1,27,6
2022-09-06 00:00:00+00:00,3,2,32,5
2022-09-07 00:00:00+00:00,2,2,31,6
2022-09-08 00:00:00+00:00,1,1,7,3
2022-09-09 00:00:00+00:00,2,2,18,2
2022-09-10 00:00:00+00:00,4,3,24,2
2022-09-11 00:00:00+00:00,1,1,22,4
2022-09-12 00:00:00+00:00,2,2,5,5
2022-09-13 00:00:00+00:00,2,2,48,8
2022-09-14 00:00:00+00:00,2,2,19,7
2022-09-15 00:00:00+00:00,6,4,28,3
2022-09-16 00:00:00+00:00,4,3,11,3
2022-09-17 00:00:00+00:00,6,5,28,1
2022-09-18 00:00:00+00:00,1,1,5,2
2022-09-19 00:00:00+00:00,2,2,10,5
2022-09-20 00:00:00+00:00,3,3,10,2
2022-09-21 00:00:00+00:00,2,2,5,4
2022-09-22 00:00:00+00:00,1,1,2,2
2022-09-23 00:00:00+00:00,2,2,38,17
2022-09-24 00:00:00+00:00,1,1,43,17
2022-09-25 00:00:00+00:00,1,1,21,4
2022-09-26 00:00:00+00:00,5,3,31,5
2022-09-27 00:00:00+00:00,2,2,32,6
2022-09-28 00:00:00+00:00,1,1,20,6
2022-09-29 00:00:00+00:00,2,2,9,3
2022-09-30 00:00:00+00:00,5,4,59,5
2022-10-01 00:00:00+00:00,4,4,54,6
2022-10-02 00:00:00+00:00,1,1,16,5
2022-10-03 00:00:00+00:00,2,2,11,5
2022-10-04 00:00:00+00:00,5,4,25,7
2022-10-05 00:00:00+00:00,4,3,35,8
2022-10-06 00:00:00+00:00,2,2,11,8
2022-10-07 00:00:00+00:00,5,4,6,3
2022-10-08 00:00:00+00:00,1,1,4,3
2022-10-09 00:00:00+00:00,1,1,16,6
2022-10-10 00:00:00+00:00,1,1,2,2
2022-10-11 00:00:00+00:00,1,1,12,5
2022-10-12 00:00:00+00:00,3,3,3,2
2022-10-13 00:00:00+00:00,2,2,1,1
2022-10-14 00:00:00+00:00,2,2,11,7
2022-10-15 00:00:00+00:00,1,1,0,0
2022-10-16 00:00:00+00:00,2,2,3,3
2022-10-17 00:00:00+00:00,1,1,15,3
