time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-13 00:00:00+00:00,0,0,50,3
2022-08-14 00:00:00+00:00,0,0,46,19
2022-08-15 00:00:00+00:00,0,0,22,7
2022-08-16 00:00:00+00:00,0,0,23,8
2022-08-17 00:00:00+00:00,0,0,18,3
2022-08-18 00:00:00+00:00,4,3,34,6
2022-08-19 00:00:00+00:00,0,0,8,3
2022-08-20 00:00:00+00:00,0,0,7,5
2022-08-22 00:00:00+00:00,0,0,24,1
2022-08-23 00:00:00+00:00,0,0,31,2
2022-08-24 00:00:00+00:00,0,0,3,2
2022-08-25 00:00:00+00:00,0,0,10,1
2022-08-26 00:00:00+00:00,0,0,26,2
2022-08-27 00:00:00+00:00,7,6,64,6
2022-08-28 00:00:00+00:00,1,1,28,3
2022-08-29 00:00:00+00:00,1,1,11,3
2022-08-30 00:00:00+00:00,1,1,6,3
2022-08-31 00:00:00+00:00,8,5,33,5
2022-09-01 00:00:00+00:00,2,2,21,3
2022-09-02 00:00:00+00:00,2,2,3,3
2022-09-03 00:00:00+00:00,2,2,65,6
2022-09-04 00:00:00+00:00,3,2,19,4
2022-09-05 00:00:00+00:00,0,0,27,6
